Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag,timestamp
60,60,100,72,0.0,64.981,22.766,0.0001,500,1.1,0,0.0020608,13.787,4.9171,66594,74459,6.503,298.0,142.23,1.4373,10.0,1350.2,34,1916.0,1.1645,0.19139,4.7782,18.31,1.0973,0,41.51,0,0,1,9,9,0,44522,44368,04/09/2025 11:34:20 AM
72,60,100,84,0.0,85.804,7.0863,0.0001,500,1.1,0,0.001855,14.716,6.9614,74097,82593,6.4917,297.99,137.18,1.6928,10.0,1622.3,31,1860.1,1.4521,0.18817,6.8327,19.503,1.2934,0,26.39,0,0,1,9,9,0,54542,54906,04/09/2025 11:34:21 AM
84,60,100,90,0.0,44.287,34.927,0.0001,100,1.1,0,0.0011538,13.991,9.1726,78275,87415,6.4858,297.98,134.99,1.9399,10.0,1810.0,23,1843.1,1.7637,0.18474,9.0236,21.229,1.4833,0,27.793,0,0,1,9,9,0,64650,64534,04/09/2025 11:34:22 AM
96,75,100,90,0.0,38.54,22.832,0.0001,100,1.1,0,0.00091873,13.95,11.314,80825,90520,6.5061,297.99,138.16,1.6906,10.0,1986.9,23,1864.4,1.6227,0.18963,11.173,22.434,1.6146,0,36.863,0,0,1,9,9,0,75342,75745,04/09/2025 11:34:23 AM
108,75,100,90,0.0,37.14,0.022013,0.0001,100,1.0,0,0.00089262,12.564,13.378,76193,85470,6.5035,297.99,137.85,1.6471,10.0,2176.8,23,1901.3,1.5093,0.19057,13.244,23.289,1.5728,0,45.77,0,0,1,9,9,0,84652,84905,04/09/2025 11:34:24 AM
120,75,100,90,1.0392,8.1064,0.058383,0.0001,100,1.0,0,0.31849,13.629,15.038,78617,88416,6.549,297.87,93.558,1.724,10.0,2401.4,23,1957.9,1.1174,0.19337,15.098,23.866,1.6467,0,54.388,0,0,1,9,9,0,92494,92761,04/09/2025 11:34:25 AM
132,75,100,90,3.6307,0.0,3.0023,0.0001,100,1.0,-4000,6.2961,13.515,14.204,73656,82994,6.6549,297.87,96.816,1.5685,10.0,3149.2,23,2252.7,0.90139,0.19529,14.258,23.246,1.4974,0,62.649,0,0,1,9,9,0,88630,88890,04/09/2025 11:34:26 AM
144,75,100,90,0.0,4.1248,55.003,1.3054,100,1.0,0,13.243,13.388,13.39,75751,85602,6.5003,297.9,103.34,1.5478,10.0,3927.9,23,2553.1,0.92142,0.19519,13.443,22.604,1.4776,0,70.804,0,0,1,9,9,0,84869,84954,04/09/2025 11:34:27 AM
156,75,100,90,0.0,10.174,64.585,8.4933,0,0.9,0,21.17,12.074,12.729,70184,79623,6.5149,297.92,114.49,1.3922,10.0,4713.6,23,2857.3,0.77153,0.19662,12.766,22.139,1.3284,0,81.499,0,0,1,9,9,0,80314,80227,04/09/2025 11:34:28 AM
168,75,100,80,0.0,10.99,15.151,126.41,400,0.9,0,29.123,13.709,11.672,74208,84215,6.504,298.15,193.45,1.3738,10.0,5455.3,23,3098.8,0.50622,0.19863,11.755,21.026,1.3108,0,81.139,0,0,1,9,9,0,74989,75392,04/09/2025 11:34:29 AM
180,75,100,80,0.0,9.3146,2.379,0.0001,150,0.9,0,37.279,12.996,10.839,70210,79844,6.4927,297.88,99.846,1.2291,10.0,6173.2,23,3342.2,0.61915,0.19808,10.888,20.086,1.1723,0,82.477,0,0,1,9,9,0,71711,71606,04/09/2025 11:34:30 AM
192,75,100,80,3.6322,0.0,10.77,105.77,150,0.9,-4000,45.705,12.974,10.136,65696,74979,6.6397,298.11,175.91,1.0967,10.0,6902.2,23,3592.4,0.60135,0.19848,10.182,19.374,1.0456,0,87.217,0,0,1,9,9,0,68032,68253,04/09/2025 11:34:31 AM
204,65,100,80,0.0,3.4541,21.571,94.467,250,0.9,0,54.225,13.185,9.4035,68654,78503,6.4975,298.1,173.81,1.2327,4.0,7479.4,23,3788.3,0.63344,0.19724,9.457,18.559,1.0189,0,90.26,0,0,1,9,9,0,63237,62952,04/09/2025 11:34:32 AM
216,65,100,80,0.0,6.5766,113.25,1.8974,250,0.9,0,61.604,13.621,8.6296,65263,74763,6.5109,297.97,131.18,1.0892,4.0,7529.7,23,3821.2,0.35816,0.19989,8.6812,17.571,0.89997,0,88.754,0,0,1,9,9,0,60293,60500,04/09/2025 11:34:33 AM
228,65,100,80,0.0,8.0993,64.923,0.21782,250,0.9,0,68.989,13.886,7.9126,68997,79057,6.5111,297.83,85.24,1.0638,4.0,7563.6,23,3846.3,0.33791,0.20012,7.9579,16.616,0.87893,0,87.072,0,0,1,9,9,0,55629,55663,04/09/2025 11:34:34 AM
240,65,100,80,0.0,10.858,58.344,7.8215,250,0.9,0,76.448,14.186,7.2471,65604,75344,6.4933,297.87,100.53,0.93403,4.0,7584.3,23,3866.1,0.18758,0.20167,7.2896,15.699,0.77141,0,85.219,0,0,1,9,9,0,52219,52247,04/09/2025 11:34:35 AM
252,60,100,80,4.1508,0.0,19.685,163.51,0,0.9,-4000,83.956,13.431,6.6957,61705,71135,6.6571,298.31,232.23,0.88503,4.0,7628.0,23,3895.4,0.37753,0.19987,6.7142,14.915,0.67462,0,84.693,0,0,1,9,9,0,50338,50860,04/09/2025 11:34:36 AM
1,30,100,8,0.5152,46.735,136.35,12.391,0,0.6,0,1.2238,14.65,0.00099696,58433,61046,6.6362,298.1,479.66,0.10482,5.0,1355.8,22,1753.3,-0.046547,0.20584,0.001,0.48773,0.039868,0,4.0809,0,0,1,10,10,0,0,0,04/09/2025 11:34:37 AM
12,42,100,15,0.51805,19.928,38.247,154.74,0,0.6,0,0.0083142,13.074,0.00096698,58645,61581,6.545,298.46,578.8,0.35736,0.0,1458.5,30,1871.2,0.51157,0.19761,0.00096786,3.1087,0.19041,0,10.787,0,0,1,10,10,0,22026,21997,04/09/2025 11:34:38 AM
24,55,100,150,0.0,225.0,373.98,0.0001,0,0.7,0,0.01677,9.0936,0.00091231,60391,64024,6.4045,298.12,486.68,0.76891,0.0,1154.5,35,1872.8,2.0809,0.18203,0.00091847,9.1585,0.53709,0,21.995,0,0,1,10,10,0,21683,21820,04/09/2025 11:34:39 AM
36,55,100,43,0.0,46.702,116.79,0.0001,0,0.9,0,0.0023787,12.206,1.6468,61166,65334,6.4891,298.01,454.12,1.0577,0.0,665.96,35,1800.8,1.2632,0.19009,1.5147,13.155,0.7394,0,35.576,0,0,1,10,10,0,28871,29022,04/09/2025 11:34:40 AM
48,60,100,57,0.0,56.723,95.259,0.0001,0,1.1,0,0.0020555,12.418,4.0114,62118,66878,6.5048,297.97,442.12,1.2417,10.0,674.72,35,1846.0,1.5688,0.18792,3.836,16.741,0.94743,0,49.842,0,0,1,10,10,0,40068,40240,04/09/2025 11:34:41 AM
60,60,100,72,0.0,73.199,33.919,0.0001,500,1.1,0,0.0019795,13.725,6.4307,68518,73946,6.5011,298.0,450.42,1.5347,10.0,986.66,34,1832.9,1.5263,0.18777,6.2721,19.013,1.172,0,41.665,0,0,1,10,10,0,51844,51537,04/09/2025 11:34:42 AM
72,60,100,84,0.0,67.14,7.6098,0.0001,500,1.1,0,0.0015077,15.038,8.8491,76051,82171,6.4998,297.99,447.73,1.815,10.0,1187.8,31,1756.4,1.5672,0.18685,8.6942,20.412,1.3873,0,26.719,0,0,1,10,10,0,63176,63224,04/09/2025 11:34:43 AM
84,60,100,90,0.0,59.41,70.339,0.0001,100,1.1,0,0.0010457,14.229,11.449,80078,86897,6.4911,298.02,457.65,2.0816,10.0,1290.0,23,1717.9,1.9759,0.18245,11.287,22.292,1.5924,0,28.306,0,0,1,10,10,0,75668,75572,04/09/2025 11:34:44 AM
96,75,100,90,0.0,71.906,18.167,0.0001,100,1.1,0,0.00089138,14.217,13.615,82709,90111,6.5027,298.0,450.44,1.8074,10.0,1466.9,23,1740.7,1.8634,0.18759,13.467,23.48,1.7268,0,37.595,0,0,1,10,10,0,86458,86047,04/09/2025 11:34:45 AM
108,75,100,90,0.0,47.557,26.332,0.0001,100,1.0,0,0.0010232,12.545,15.853,78196,85210,6.4973,298.01,453.7,1.7736,10.0,1651.6,23,1765.4,1.8256,0.18794,15.693,24.455,1.6943,0,46.719,0,0,1,10,10,0,97606,98048,04/09/2025 11:34:46 AM
120,75,100,90,0.0,57.578,13.437,0.0001,100,1.0,0,0.00092386,12.122,18.091,80809,88439,6.4947,298.0,451.18,1.8903,10.0,1789.8,23,1785.5,1.954,0.18674,17.944,25.407,1.8065,0,55.679,0,0,1,10,10,0,107750,108210,04/09/2025 11:34:47 AM
132,75,100,90,0.0,52.474,2.1421,16.974,100,1.0,-4000,0.0008706,11.768,20.02,76559,83784,6.4779,297.98,440.95,1.822,10.0,1943.7,23,1822.3,1.9223,0.18711,19.882,25.943,1.7408,0,64.327,0,0,1,10,10,0,116390,116700,04/09/2025 11:34:48 AM
144,75,100,90,0.0,77.241,9.3726,86.767,100,1.0,0,0.0006412,11.889,21.843,79479,87322,6.5064,298.06,472.48,1.8843,10.0,2118.2,23,1872.5,1.9104,0.18708,21.738,26.198,1.8006,0,72.412,0,0,1,10,10,0,125020,125010,04/09/2025 11:34:49 AM
156,75,100,90,0.0,38.711,24.886,0.77833,0,0.9,0,0.00065863,10.533,23.535,74576,81999,6.4965,297.92,420.31,1.7537,10.0,2328.9,23,1956.4,1.7236,0.18875,23.409,26.217,1.6752,0,81.99,0,0,1,10,10,0,133480,133660,04/09/2025 11:34:50 AM
168,75,100,80,0.0,10.672,45.853,8.0343,400,0.9,0,4.8503,13.49,22.688,78757,86760,6.5148,297.85,394.55,1.7457,10.0,2930.3,23,2188.9,0.90803,0.19489,22.844,25.182,1.6675,0,79.181,0,0,1,10,10,0,128700,128370,04/09/2025 11:34:51 AM
180,75,100,80,0.0,10.214,23.245,181.75,150,0.9,0,13.044,12.858,21.135,74827,82376,6.5103,298.29,554.58,1.5685,10.0,3731.3,23,2525.4,0.93127,0.19507,21.228,24.132,1.4974,0,77.914,0,0,1,10,10,0,120910,120730,04/09/2025 11:34:52 AM
192,75,100,80,4.1501,0.0,45.68,1.3239,150,0.9,-4000,20.518,12.941,19.811,70383,77472,6.6664,297.82,388.34,1.4042,10.0,4459.2,23,2846.7,0.80843,0.19632,19.897,23.33,1.3399,0,80.064,0,0,1,10,10,0,114710,114680,04/09/2025 11:34:53 AM
204,65,100,80,0.0,8.5167,14.108,135.5,250,0.9,0,28.125,13.166,18.431,73345,80969,6.4971,298.16,503.7,1.5732,4.0,5055.9,23,3118.2,0.88973,0.19435,18.532,22.411,1.3017,0,80.538,0,0,1,10,10,0,107760,107890,04/09/2025 11:34:54 AM
216,65,100,80,0.0,6.0356,26.465,111.99,250,0.9,0,34.896,13.544,16.975,70037,77200,6.4857,298.11,486.16,1.3927,4.0,5240.2,23,3240.5,0.69152,0.19642,17.07,21.29,1.1517,0,76.496,0,0,1,10,10,0,100990,101110,04/09/2025 11:34:55 AM
228,65,100,80,0.0,9.1974,75.764,1.5714,250,0.9,0,40.958,13.808,15.622,73781,81436,6.5088,297.92,421.95,1.3513,4.0,5416.5,23,3348.4,0.73945,0.19609,15.708,20.208,1.1173,0,72.324,0,0,1,10,10,0,94229,94498,04/09/2025 11:34:56 AM
230,65,100,80,0.0,8.9719,71.197,1.5668,250,0.9,0,41.933,13.84,15.411,74405,82142,6.5057,297.92,420.65,1.3439,4.0,5442.5,23,3364.6,0.75533,0.19596,15.495,20.038,1.1113,0,71.616,0,0,1,10,10,0,92173,92107,04/09/2025 11:34:57 AM
1,30,100,8,0.0,1.2359,43.55,3.9862,0,0.6,0,1.1124,14.547,0.001,57931,61795,6.4795,298.01,55.971,0.1196,5.0,1335.8,22,1753.5,-0.025104,0.20541,1.82e-24,0.59776,0.04549,0,4.0865,0,0,1,11,11,0,0,0,04/09/2025 11:34:58 AM
12,42,100,15,0.0,16.394,49.416,175.59,0,0.6,0,0.01026,12.828,0.00096814,58154,62340,6.5299,298.61,217.17,0.3636,0.0,1441.1,30,1872.3,0.4916,0.19786,0.00097049,3.2277,0.19374,0,11.041,0,0,1,11,11,0,21996,22300,04/09/2025 11:34:59 AM
24,55,100,150,0.0,225.0,363.76,0.0001,0,0.7,0,0.022066,8.2367,0.0009082,60075,64976,6.3902,298.1,80.946,0.78019,0.0,1130.5,35,1866.3,2.0683,0.18214,0.00091437,9.3473,0.54499,0,22.423,0,0,1,11,11,0,20624,20594,04/09/2025 11:35:00 AM
36,55,100,43,0.0,68.729,107.04,0.0001,0,0.9,0,0.002682,11.647,1.6831,61042,66489,6.505,297.96,59.32,1.0769,0.0,632.13,35,1786.3,1.1598,0.19113,1.5322,13.444,0.75289,0,36.277,0,0,1,11,11,0,29459,28943,04/09/2025 11:35:01 AM
48,60,100,57,0.0,78.46,204.57,0.0001,0,1.1,0,0.0023528,11.607,4.2561,62255,68319,6.497,298.02,74.937,1.2724,10.0,601.75,35,1800.6,1.452,0.18898,4.0577,17.129,0.97099,0,50.773,0,0,1,11,11,0,41147,40987,04/09/2025 11:35:02 AM
60,60,100,72,0.0,78.752,31.504,0.0001,500,1.1,0,0.0019864,13.233,6.9799,68819,75560,6.498,297.98,59.837,1.5615,10.0,862.99,34,1756.0,1.4251,0.18868,6.794,19.289,1.1926,0,42.79,0,0,1,11,11,0,53884,54081,04/09/2025 11:35:03 AM
72,60,100,84,0.0,81.367,0.0001,0.010197,500,1.1,0,0.0014459,14.708,9.6322,76543,83960,6.5005,297.94,47.922,1.8146,10.0,1000.7,31,1660.9,1.4704,0.18777,9.4672,20.296,1.387,0,27.9,0,0,1,11,11,0,66834,67388,04/09/2025 11:35:04 AM
84,60,100,90,0.0,77.539,64.746,0.58795,100,1.1,0,0.0010017,13.859,12.481,80797,88900,6.5099,298.06,91.151,2.0553,10.0,1034.6,23,1599.7,1.8744,0.18346,12.31,21.833,1.5721,0,29.412,0,0,1,11,11,0,81017,81263,04/09/2025 11:35:05 AM
96,75,100,90,0.0,71.058,26.281,0.0001,100,1.1,0,0.00095971,13.683,14.903,83648,92329,6.4891,298.0,68.368,1.7732,10.0,1154.1,23,1597.0,1.8194,0.18799,14.732,22.771,1.694,0,38.497,0,0,1,11,11,0,93040,93307,04/09/2025 11:35:06 AM
108,75,100,90,0.0,82.721,17.513,0.0001,100,1.0,0,0.0010632,12.075,17.518,79457,87775,6.4923,297.99,64.93,1.7469,10.0,1210.4,23,1580.7,1.888,0.18751,17.34,23.72,1.6687,0,47.403,0,0,1,11,11,0,105500,105790,04/09/2025 11:35:07 AM
120,75,100,90,0.0,63.583,3.8966,0.0001,100,1.0,0,0.00097949,11.754,20.035,82372,91322,6.5062,298.0,65.962,1.8567,10.0,1262.6,23,1570.0,1.7809,0.18812,19.872,24.492,1.7741,0,56.116,0,0,1,11,11,0,117490,117800,04/09/2025 11:35:08 AM
132,75,100,90,0.0,55.27,0.0001,0.0001,100,1.0,-4000,0.0010399,11.263,22.406,77952,86514,6.5136,297.97,55.577,1.7915,10.0,1302.6,23,1574.6,1.7546,0.18844,22.235,25.061,1.7115,0,64.474,0,0,1,11,11,0,128280,128940,04/09/2025 11:35:09 AM
144,75,100,90,0.0,46.864,3.8475,25.163,100,1.0,0,0.00080845,11.33,24.768,80461,89669,6.504,297.96,52.149,1.8522,10.0,1354.2,23,1590.4,1.6554,0.18908,24.617,25.438,1.7698,0,72.268,0,0,1,11,11,0,139520,139540,04/09/2025 11:35:10 AM
156,75,100,90,0.0,32.076,28.146,0.68284,0,0.9,0,0.00081068,9.9008,26.923,75346,84138,6.4951,297.94,45.675,1.7238,10.0,1435.8,23,1641.7,1.6187,0.1896,26.755,25.524,1.6465,0,81.568,0,0,1,11,11,0,149230,149260,04/09/2025 11:35:11 AM
168,75,100,80,0.0,51.511,60.048,9.0909,400,0.9,0,0.0011593,11.995,28.522,79851,89247,6.4997,297.92,36.764,1.7427,10.0,1596.5,23,1686.5,1.1233,0.19329,28.445,24.771,1.6646,0,78.406,0,0,1,11,11,0,156890,157110,04/09/2025 11:35:12 AM
180,75,100,80,0.0,65.646,19.125,151.96,150,0.9,0,0.0013731,11.059,30.66,76680,85628,6.5073,298.23,154.35,1.6202,10.0,1647.8,23,1701.9,1.3657,0.19171,30.518,24.261,1.547,0,76.599,0,0,1,11,11,0,167650,167720,04/09/2025 11:35:13 AM
192,75,100,80,0.0,55.434,9.4063,91.541,150,0.9,-4000,0.0015238,11.188,32.531,72866,81325,6.5209,298.07,90.722,1.5028,10.0,1679.7,23,1746.6,1.1537,0.19353,32.41,23.999,1.4344,0,78.298,0,0,1,11,11,0,176070,175990,04/09/2025 11:35:14 AM
202,65,100,80,0.0,58.304,11.229,69.219,250,0.9,0,0.0012149,11.678,33.554,75673,84587,6.5026,297.93,41.956,1.7343,4.0,1758.3,23,1812.5,1.0969,0.19224,33.518,23.697,1.4357,0,79.072,0,0,1,11,11,0,181390,181980,04/09/2025 11:35:15 AM
1,30,100,8,0.0,19.589,104.95,9.2311,0,0.6,0,1.246,14.584,0.00099763,58281,62017,6.5508,298.09,374.25,0.11927,5.0,1417.0,22,1673.2,0.0082234,0.20479,0.001,0.58507,0.045364,0,4.0859,0,0,1,12,12,0,0,0,04/09/2025 11:35:16 AM
12,42,100,15,0.0,10.335,166.17,0.020993,0,0.6,0,0.0083527,13.222,0.00096783,58513,62573,6.4841,298.01,353.76,0.37842,0.0,1488.9,30,1788.8,0.49799,0.19775,0.00096796,3.4031,0.20164,0,11.23,0,0,1,12,12,0,21020,20658,04/09/2025 11:35:17 AM
24,55,100,150,0.0,225.0,337.4,0.0001,0,0.7,0,0.014093,9.8913,0.00091324,60251,65026,6.4161,298.08,370.66,0.79596,0.0,1180.1,35,1791.0,1.9915,0.18293,0.00091941,9.5548,0.55603,0,22.427,0,0,1,12,12,0,21677,21314,04/09/2025 11:35:18 AM
36,55,100,43,0.0,27.998,118.89,0.0001,0,0.9,0,0.0024253,12.7,1.919,60846,66156,6.5063,297.97,341.08,1.0702,0.0,651.38,35,1707.3,1.1916,0.19081,1.7702,13.393,0.74816,0,36.062,0,0,1,12,12,0,30197,30517,04/09/2025 11:35:19 AM
48,60,100,57,0.0,34.855,150.08,0.0001,0,1.1,0,0.0020293,13.336,4.5379,61593,67497,6.4988,297.98,342.93,1.2453,10.0,538.2,35,1738.5,1.2805,0.19066,4.3349,16.949,0.95023,0,50.375,0,0,1,12,12,0,42639,43148,04/09/2025 11:35:20 AM
60,60,100,72,0.0,60.326,47.434,0.0001,500,1.1,0,0.0018694,14.711,7.222,67787,74336,6.5015,297.99,345.33,1.5118,10.0,726.09,34,1718.9,1.1497,0.19138,7.0492,18.949,1.1545,0,42.202,0,0,1,12,12,0,55211,54744,04/09/2025 11:35:21 AM
72,60,100,84,0.0,61.461,40.634,0.0001,500,1.1,0,0.0016188,15.35,9.6865,75147,82380,6.5059,298.0,347.39,1.7817,10.0,848.09,31,1651.8,1.5679,0.1869,9.5255,20.257,1.3617,0,27.173,0,0,1,12,12,0,67770,67825,04/09/2025 11:35:22 AM
84,60,100,90,0.0,50.111,243.04,0.0019912,100,1.1,0,0.001145,14.644,12.445,79246,87202,6.5009,298.27,447.62,2.0627,10.0,824.89,23,1600.5,1.9391,0.18283,12.265,22.31,1.5778,0,28.734,0,0,1,12,12,0,81036,81448,04/09/2025 11:35:23 AM
96,75,100,90,0.0,43.099,50.198,0.0001,100,1.1,0,0.00089325,14.69,14.852,81783,90355,6.4946,297.98,337.25,1.8085,10.0,844.28,23,1602.4,1.7459,0.18847,14.702,23.754,1.7278,0,38.062,0,0,1,12,12,0,93006,92939,04/09/2025 11:35:24 AM
108,75,100,90,0.0,55.787,14.389,0.0001,100,1.0,0,0.00082278,13.323,16.984,77346,85537,6.4906,297.97,334.59,1.7834,10.0,897.18,23,1631.1,1.6799,0.18902,16.853,24.883,1.7037,0,47.298,0,0,1,12,12,0,102130,101920,04/09/2025 11:35:25 AM
120,75,100,90,0.0,36.547,4.0203,47.992,100,1.0,0,0.00055894,13.453,18.683,79852,88601,6.499,298.02,351.14,1.8757,10.0,1047.3,23,1699.7,1.4232,0.19078,18.584,25.549,1.7924,0,56.313,0,0,1,12,12,0,110140,110110,04/09/2025 11:35:26 AM
132,75,100,90,0.0,25.443,6.0387,63.653,100,1.0,-4000,0.00067734,13.022,20.165,75242,83506,6.5291,298.06,366.23,1.7733,10.0,1233.5,23,1789.2,1.3455,0.19156,20.048,25.718,1.694,0,64.77,0,0,1,12,12,0,117090,117740,04/09/2025 11:35:27 AM
144,75,100,90,0.0,38.306,15.253,126.77,100,1.0,0,0.0005168,13.12,21.718,77628,86447,6.5126,298.13,395.35,1.8131,10.0,1395.6,23,1878.0,1.3123,0.19174,21.627,25.832,1.7322,0,72.451,0,0,1,12,12,0,124910,125230,04/09/2025 11:35:28 AM
156,75,100,90,0.0,28.397,26.555,3.7164,0,0.9,0,0.0008015,11.548,23.209,72416,80761,6.4939,297.95,328.26,1.6722,10.0,1561.9,23,1991.6,1.3212,0.19194,23.078,25.769,1.5969,0,81.456,0,0,1,12,12,0,131900,132070,04/09/2025 11:35:29 AM
168,75,100,80,0.0,33.422,44.714,1.2005,400,0.9,0,0.00088261,13.442,24.334,76768,85664,6.5007,297.87,297.92,1.6913,10.0,1732.3,23,2066.5,0.76513,0.19607,24.295,25.025,1.6153,0,78.161,0,0,1,12,12,0,137770,137790,04/09/2025 11:35:30 AM
180,75,100,80,0.0,33.818,26.364,0.66078,150,0.9,0,0.0015469,12.209,25.983,73239,81656,6.4982,297.91,315.3,1.5673,10.0,1827.1,23,2121.1,1.1958,0.19309,25.858,24.57,1.4963,0,76.291,0,0,1,12,12,0,145160,145020,04/09/2025 11:35:31 AM
192,75,100,80,0.0,29.56,6.8266,67.259,150,0.9,-4000,0.0016072,12.089,27.535,69217,77175,6.5317,298.05,361.95,1.4603,10.0,1877.7,23,2185.1,1.1664,0.19352,27.434,24.54,1.3937,0,78.298,0,0,1,12,12,0,152540,152580,04/09/2025 11:35:32 AM
204,65,100,80,0.0,43.629,53.203,1.1956,250,0.9,0,0.0013858,12.436,28.699,72578,81114,6.4953,297.91,315.02,1.7081,4.0,1895.8,23,2235.7,1.108,0.19219,28.645,24.385,1.4139,0,78.882,0,0,1,12,12,0,158040,158760,04/09/2025 11:35:33 AM
216,65,100,80,0.0,50.996,49.138,1.254,250,0.9,0,0.0015147,12.623,29.469,69816,77880,6.4964,297.87,302.58,1.584,4.0,1627.8,23,2180.2,1.0066,0.19332,29.424,23.997,1.3106,0,75.13,0,0,1,12,12,0,161660,161390,04/09/2025 11:35:34 AM
228,65,100,80,0.0,38.007,19.626,182.83,250,0.9,0,0.0012337,12.882,30.063,73958,82608,6.5065,298.25,433.01,1.6134,4.0,1396.8,23,2141.3,1.1015,0.19244,30.039,23.668,1.3351,0,71.499,0,0,1,12,12,0,164920,165320,04/09/2025 11:35:35 AM
230,65,100,80,0.0,45.189,95.829,14.009,250,0.9,0,0.0011924,12.989,30.102,74637,83378,6.502,297.89,306.27,1.6148,4.0,1369.3,23,2140.3,1.1009,0.19244,30.087,23.588,1.3363,0,70.884,0,0,1,12,12,0,165090,165490,04/09/2025 11:35:36 AM
1,30,100,8,0.51828,17.617,96.926,8.8715,0,0.6,0,1.2664,14.64,0.00099762,57881,61225,6.5737,298.06,322.59,0.1174,5.0,1455.8,22,1741.5,-0.049867,0.20588,0.001,0.58631,0.044653,0,4.086,0,0,1,13,13,0,0,0,04/09/2025 11:35:37 AM
12,42,100,15,0.0,77.337,298.44,0.0001,0,0.6,0,0.91299,12.047,0.00096594,58095,61766,6.4926,298.32,391.25,0.33542,0.0,1576.1,30,1867.6,0.92931,0.19197,0.00096877,2.854,0.17871,0,10.854,0,0,1,13,13,0,21513,21817,04/09/2025 11:35:38 AM
24,55,100,150,0.0,225.0,631.84,0.0001,0,0.7,0,0.022199,9.0627,0.00090122,60319,64726,6.3844,298.08,325.4,0.80018,0.0,1226.9,35,1841.2,2.0876,0.1819,0.00090731,9.5857,0.55898,0,22.535,0,0,1,13,13,0,21650,21954,04/09/2025 11:35:39 AM
36,55,100,43,0.0,55.87,124.59,0.0001,0,0.9,0,0.0026432,12.41,1.7889,61260,66195,6.5181,298.01,304.75,1.0702,0.0,721.06,35,1757.6,1.1576,0.19117,1.6474,13.318,0.74815,0,36.565,0,0,1,13,13,0,29516,29502,04/09/2025 11:35:40 AM
48,60,100,57,0.0,76.986,184.1,0.0001,0,1.1,0,0.0024251,12.667,4.2827,62472,67993,6.5015,297.98,295.92,1.2371,10.0,655.66,35,1787.6,1.4373,0.18918,4.0956,16.594,0.94395,0,51.068,0,0,1,13,13,0,40831,40504,04/09/2025 11:35:41 AM
60,60,100,72,0.0,77.981,24.561,0.0001,500,1.1,0,0.001995,14.305,6.8448,68914,75089,6.4969,297.98,291.87,1.5067,10.0,887.1,34,1769.1,1.2353,0.19058,6.6732,18.573,1.1505,0,42.979,0,0,1,13,13,0,53292,53322,04/09/2025 11:35:42 AM
72,60,100,84,0.0,74.946,0.0001,0.0001,500,1.1,0,0.0015794,15.408,9.3604,76595,83433,6.5062,297.96,286.48,1.7509,10.0,1023.2,31,1692.1,1.362,0.18891,9.1997,19.552,1.338,0,27.939,0,0,1,13,13,0,66089,66141,04/09/2025 11:35:43 AM
84,60,100,90,0.0,47.88,24.887,0.0001,100,1.1,0,0.001122,14.609,12.149,80867,88403,6.4813,297.98,293.82,2.0069,10.0,1034.1,23,1637.7,1.7717,0.18454,11.96,21.281,1.5348,0,29.345,0,0,1,13,13,0,79992,80402,04/09/2025 11:35:44 AM
96,75,100,90,0.0,64.732,10.158,0.0001,100,1.1,0,0.00089502,14.598,14.828,83661,91793,6.4911,297.99,297.95,1.7409,10.0,1055.4,23,1617.9,1.6755,0.18914,14.661,22.349,1.6629,0,38.407,0,0,1,13,13,0,92288,92554,04/09/2025 11:35:45 AM
108,75,100,90,0.0,70.157,10.877,2.1543,100,1.0,0,0.00072247,13.54,17.09,79325,87031,6.5087,297.93,274.9,1.6868,10.0,1164.8,23,1640.2,1.4858,0.19068,16.952,22.954,1.611,0,47.221,0,0,1,13,13,0,103540,103320,04/09/2025 11:35:46 AM
120,75,100,90,0.0,37.879,1.6612,0.0001,100,1.0,0,0.00062376,13.268,19.091,81950,90189,6.4969,297.9,262.33,1.7541,10.0,1306.4,23,1688.0,1.5632,0.18996,18.969,23.269,1.6756,0,55.608,0,0,1,13,13,0,113020,113660,04/09/2025 11:35:47 AM
